Name Description
ar-arch_dept Other
ar-planning_dept Other
arts_&_sciences_undergraduate AS
as-anthropology AS
as-art AS
as-astronomy AS
as-astronomy_(astr) AS
as-biology AS
as-biology_(biol) AS
as-blandy_experimental_farm AS
as-chemistry AS
as-chemistry_(chem) AS
as-comp_arts_&_sciences_computing_services AS
as-democracy_initiative AS
as-dept_of_politics AS
as-economics AS
as-economics_(econ) AS
as-engagements_(egmt) AS
as-english-eng_lit_ops AS
as-environmental_sciences AS
as-environmental_sciences_(envs) AS
as-history_(hist) AS
as-inst-nuclear_&_particle_physics AS
as-mathematics AS
as-music AS
as-physics AS
as-physics_(phys) AS
as-psychology AS
as-psychology_(psyc) AS
as-sociology AS
as-statistics AS
as-undergrad_college_ops AS
ba-dean_administration Other
ba-frank_batten_school BA
cu-castl ED
cu-curr_instr_&_sp_ed ED
cu-leadshp_fndns_&_pol_studies Other
cu-leadshp,_fndns_&_pol_studies ED
da-academic_operations DA
da-darden_school DA
data_science DS
ds-academic_affairs Other
ds-data_science_school DS
ds-deans_office DS
ds-faculty_affairs DS
ds-information_technology Other
ed-castl Other
ed-edlf_department Other
emeritus Other
en-apma EN
en-biomed_engr_dept EN
en-cab EN
en-cee EN
en-center_for_applied_biomechanics_(cab) EN
en-chem_engr_dept EN
en-comp_science_dept EN
en-deans_office EN
en-elec_&_comp_engr_dept EN
en-elec/computer_engr_dept EN
en-eng_sys_and_environment EN
engineering_graduate EN
en-info_technology EN
en-mat_sci_&_engr_dept EN
en-mat_sci/engr_dept EN
en-mech_&_aero_engr_dept EN
en-mech/aero_engr_dept EN
en-sys/info_engr_dept EN
fndemp-sponsored Other
health_volunteer_volunteer_sponsored MD
hs-biocomplexity_initiative BI
interns_and_resident MD
it-ei_development_and_automation RC
it-research_computing Other
it-uee_infrastructure_support RC
lb-research_data_svcs Other
lb-research_data_svcs_&_social_natl_&_engng_science_svs Other
lb-scholars_lab Other
lb-univ_librarian-general Other
lw-law_school_central LW
mc-deans_admin MC
mc-deans_office Other
mc-general_administration MC
md-beir_ctr-beirne_carter MD
md-beir_ctr/beirne_carter MD
md-bioc_biochem-mole_genetics MD
md-bioc_biochem/mole_genetics MD
md-biom_biomedical_eng MD
md-canc_cancer_center MD
md-cdbt_ctr_for_diabetes_tech MD
md-cell_cell_biology MD
md-cphg_ctr_for_public_health_genomics MD
md-cvrc_ctr-cv_research MD
md-cvrc_ctr/cv_research MD
md-dmed_institutional_analysis MD
md-dmed_som_core_facilities MD
md-emed_emergency_medicine MD
md-fmed_family_medicine MD
md-health_sciences_library MD
md-inmd_allergy MD
md-inmd-ctr_inflammation_reg MD
md-inmd_cv_medicine MD
md-inmd_endocrinology MD
md-inmd_hem-onc MD
md-inmd_hem/onc MD
md-inmd_infectious_dis MD
md-inmd_nephrology MD
md-inmd_pulmonary MD
md-inmd_rheumatology MD
md-micr_microbiology MD
md-mphy_mole_phys_&_biophysics MD
md-ners_multiple_neuralgia MD
md-ners_research_lab MD
md-nesc_neuroscience MD
md-neur_neurology MD
md-opht_research_cavs MD
md-ortp_ortho_research MD
md-otly_oto,_admin MD
md-path_experimental_pathology MD
md-path_research MD
md-pbhs_public_health_sciences_admin MD
md-pedt_developmental MD
md-pedt_gastroenterology MD
md-pedt_hematology-oncology MD
md-pedt_infectious_diseases MD
md-pedt_nephrology MD
md-phar_pharmacology MD
md-radl_angio/interv MD
md-radl_neuroradiology MD
md-radl_radiology_-_admin MD
md-radl_rad_research MD
md-ronc_radiation_oncology MD
md-surg_acute_care_&_trauma MD
md-surg_breast_&_melanoma MD
md-surg_research MD
md-surg_surg_oncology MD
md-surg_thoracic_surgery MD
md-surg_transplantation MD
medicine_graduate MD
n/a Other
nr-nursing NURS
physical_therapy MD
pv-bii-biocomplexity_initiative Other
pv-bii_nssac BI
pv-biocomplexity_initiative BI
pv-ctr_for_public_svc PV
pv-data_science_institute DS
pv-inst_adv_tech_humanities PV
pv-ofc_of_exec_vp_&_provost PV
pv-wcc-weldon_cooper_center Other
rs-research_computing RC
sa-sh-administration Other
unknown Other
UNKNOWN Other
unpdfac-sponsored Other
ws-applied_data_analytics Other
ws-dean_of_faculty Other
